generated_at: 2026-04-18T15:56:38
db_path: E:\EDINET_Data\edinet_monitor\db\edinet_monitor.db
period_mode: all
period_from: all
period_to: all
industry_33: all
security_codes: all
status_filter: FILING_MISSING
annual_gap_detection: on
rows: 1222
status_summary: FILING_MISSING=1222

証券コード | 会社名                                             | 業種                 | 期末日     | doc_id | 提出日 | filing | zip | 正規化 | 派生 | parse_status | 状況          
2984       | ヤマイチエステート                                 | 不動産業             | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
3020       | アプライド                                         | 小売業               | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
3030       | ハブ                                               | 小売業               | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
3030       | ハブ                                               | 小売業               | 2020-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
3034       | クオールホールディングス                           | 小売業               | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
3042       | セキュアヴェイル                                   | 情報・通信業         | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
3050       | ＤＣＭホールディングス                             | 小売業               | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
3050       | ＤＣＭホールディングス                             | 小売業               | 2020-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
3059       | ヒラキ                                             | 小売業               | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
3063       | ジェイグループホールディングス                     | 小売業               | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
3063       | ジェイグループホールディングス                     | 小売業               | 2020-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
3065       | ライフフーズ                                       | 小売業               | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
3065       | ライフフーズ                                       | 小売業               | 2020-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
3069       | ＪＦＬＡホールディングス                           | 食料品               | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
3075       | 銚子丸                                             | 小売業               | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
3075       | 銚子丸                                             | 小売業               | 2023-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
3075       | 銚子丸                                             | 小売業               | 2022-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
3075       | 銚子丸                                             | 小売業               | 2021-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
3075       | 銚子丸                                             | 小売業               | 2020-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
3075       | 銚子丸                                             | 小売業               | 2019-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
3075       | 銚子丸                                             | 小売業               | 2018-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
3075       | 銚子丸                                             | 小売業               | 2017-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
3077       | ホリイフードサービス                               | 小売業               | 2024-11-30 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
