generated_at: 2026-08-02T16:33:20
mode: apply
date_from: 
date_to: 
selected_rows: 816499
candidates: 2872003
warnings: 1

status     | code     | company                | period_end | kind     | segment                  | metric           | value_kind         | value            | source_tag                       | reason                      
selected   | 9743     | 丹青社                 | 2016-01-31 | business | E00208-000Chain Store Market | NetSales         | total              |   15,378,874,000 | NetSales                         | selected                    
selected   | 9743     | 丹青社                 | 2016-01-31 | business | E00208-000Cultural Facility Market | NetSales         | total              |    9,424,527,000 | NetSales                         | selected                    
selected   | 9743     | 丹青社                 | 2016-01-31 | total    | 合計                     | NetSales         | total              |   66,858,139,000 | NetSales                         | selected                    
selected   | 9743     | 丹青社                 | 2016-01-31 | business | その他                   | NetSales         | total              |    3,067,640,000 | NetSales                         | selected                    
excluded   | 9743     | 丹青社                 | 2016-01-31 | total    | 合計                     | NetSales         | total              |   66,858,139,000 | NetSales                         | lower_priority_duplicate    
selected   | 9743     | 丹青社                 | 2016-01-31 | total    | 合計                     | NetSales         | total              |   69,925,780,000 | NetSales                         | selected                    
excluded   | 9743     | 丹青社                 | 2016-01-31 | excluded | Reconciling Items        |                  |                    |   -2,313,576,000 | NetSales                         | excluded_adjustment_or_elimination_member
excluded   | 9743     | 丹青社                 | 2016-01-31 | excluded |                          |                  |                    |             None | NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock | table_0:excluded_no_supported_metric
selected   | 9743     | 丹青社                 | 2016-01-31 | business | 商業その他 施設事業      | NetSales         | total              |   37,276,115,000 | NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock | selected_semantic_segment_note_table
selected   | 9743     | 丹青社                 | 2016-01-31 | business | チェーン ストア事業      | NetSales         | total              |   14,643,365,000 | NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock | selected_semantic_segment_note_table
selected   | 9743     | 丹青社                 | 2016-01-31 | business | 文化施設 事業            | NetSales         | total              |    9,279,412,000 | NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock | selected_semantic_segment_note_table
selected   | 9743     | 丹青社                 | 2016-01-31 | business | その他 (注)１            | NetSales         | total              |    2,174,307,000 | NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock | selected_semantic_segment_note_table
selected   | 9743     | 丹青社                 | 2016-01-31 | business | 連結 財務諸表 計上額 (注)３ | NetSales         | total              |   63,373,201,000 | NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock | selected_semantic_segment_note_table
selected   | 9743     | 丹青社                 | 2016-01-31 | business | 商業その他 施設事業      | SegmentProfit    | segment_profit     |    1,451,611,000 | NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock | selected_semantic_segment_note_table
